course_title,url,is_paid,price,num_subscibers,num_reviews,num_lectures,level,content_duration,subject,published_date,year,month,day
"DATA WRANGLING ,ANALYSIS AND AB TESTING WITH SQL",https://www.coursera.org/learn/data-wrangling-analysis-abtesting?specialization=learn-sql-basics-data-science,FALSE,0,63948,928,4,BEGINNER,15:00:00,SQL,2023-09-18,2023,9,18
DISTRIBUTED COMPUTING WITH SPARK SQL,https://www.coursera.org/learn/spark-sql?specialization=learn-sql-basics-data-science,FALSE,0,45902,662,4,INTERMEDIATE,13:00:00,SQL,2022-08-11,2022,8,11
SQL FOR DATA SCIENCE CAPSTONE PROJECT,https://www.coursera.org/learn/sql-data-science-capstone?specialization=learn-sql-basics-data-science,FALSE,0,35551,220,4,INTERMEDIATE,35:00:00,SQL,2023-06-28,2023,6,28
SQL BEGINNER LEVEL COURSE,https://www.udemy.com/course/sql-beginners-level-course/,FALSE,0,24129,662,6,INTERMEDIATE,02:00:00,SQL,2023-08-19,2023,8,19
THE COMPLETE SQL COURSE ,https://www.udemy.com/course/the-complete-sql-course-2021-learn-by-doing/?couponCode=LETSLEARNNOWPP,TRUE,3699,8138,2323,114,INTERMEDIATE,13:00:00,SQL,2024-02-17,2024,2,17
"FOUNDATIONS :DATA,DATA,EVERYWHERE",https://www.coursera.org/enroll/learn/foundations-data/paidmedia?specialization=google-data-analytics,FALSE,0,2484323,99539,4,BEGINNER,18:00:00,DATA ANALYTICS,2020-12-19,2020,12,19
ASK QUESTIONS TO MAKE DATA DRIVEN DECISIONS,https://www.coursera.org/enroll/learn/ask-questions-make-decisions/paidmedia?specialization=google-data-analytics,FALSE,0,985045,30541,4,BEGINNER,21:00:00,DATA ANALYTICS,2016-12-09,2016,12,9
PREPARE  DATA FOR EXPLORATION,https://www.coursera.org/enroll/learn/data-preparation/paidmedia?specialization=google-data-analytics,FALSE,0,737558,19139,5,BEGINNER,25:00:00,DATA ANALYTICS,2017-11-13,2017,11,13
PROCESS DATA FROM DIRTY TO CLEAN,https://www.coursera.org/enroll/learn/process-data/paidmedia?specialization=google-data-analytics,FALSE,0,621599,14812,6,BEGINNER,26:00:00,DATA ANALYTICS,2018-09-18,2017,9,18
ANALYZE DATA TO ANSWER QUESTIONS ,https://www.coursera.org/enroll/learn/analyze-data/paidmedia?specialization=google-data-analytics,FALSE,0,540222,10431,4,BEGINNER,32:00:00,DATA ANALYTICS,2019-08-28,2019,8,28
